Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2010 [YR2010],2022 [YR2022],2020 [YR2020],2021 [YR2021],2018 [YR2018],2019 [YR2019],2017 [YR2017],2016 [YR2016],2014 [YR2014],2015 [YR2015],2013 [YR2013],2012 [YR2012],2011 [YR2011],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2000 [YR2000],2001 [YR2001],1999 [YR1999]
Viet Nam,VNM,Income share held by lowest 20%,SI.DST.FRST.20,..,6.5,6.8,6.6,..,6.7,..,..,6.9,7.1,..,..,7.1,..,..,7.2,..,7.2,..,7.5,..,..,..
Viet Nam,VNM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,..,80.71,78.399,79.399,77.96,81.324,81.357,81.361,81.419,81.74,81.866,81.592,80.747,80.784,78.894,77.909,76.899,75.864,76.52,77.087,76.854,77.654,78.17
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,73.513,..,75.378,..,73.976,74.093,73.963,73.938,73.855,73.876,73.775,73.704,73.692,73.436,73.319,73.271,73.135,72.98,72.801,72.462,72.647,72.317
Viet Nam,VNM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,23,..,20.9,20.6,21.3,21.1,21.5,21.7,22.1,21.9,22.3,22.6,22.8,24.1,24.5,25.1,25.8,26.7,27.6,30,28.7,31.5
Viet Nam,VNM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,6.48554841122306,..,8.42740854894926,..,7.75751139075885,8.07365222214524,7.47151841765248,7.23221256980496,6.789856209869,7.02375023656627,6.62881678375049,6.55861261544209,6.51500799105331,6.43913158128844,6.42342447438039,6.40467086140102,6.38203283242292,6.35411796293022,6.31798509536706,6.20005151317939,6.26760506163686,6.11981597623364
Viet Nam,VNM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,4.3,4.8,..,6.8,5.7,7.9,9.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,..,14.7,..,..,..,..,..,..,18.3,17.1,17.7,16.4,15.9,15.3,13.1,12.7,12.2,11.7,11.3,10.9,10.1,10.5,9.8
Viet Nam,VNM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,9.9,..,5.1,5,6,5.5,6.4,6.8,7.5,7.1,7.6,8.1,8.6,13.8,15,15.2,15.3,16,17.7,..,19.5,..
Viet Nam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.654,1.11,1.54,2.1,2.38,1.16,1.68,1.87,1.85,1.26,1.85,1.32,1.03,1,2.03,2.045,2.075,2.14,2.25,2.12,2.26,2.76,2.33
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Environment Social and Governance (ESG) Data,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,
